Onshore Ratios,Unnamed: 1,Unnamed: 2,Nems: East,Nems: Gulf Coast,Nems: MidContinent,Nems: South West,Nems: Rocky Mountain,Nems: West Coast,Nems: Alaska & Hawaii
NANGAM,,,NES,NGC,NMC,NSW,NRM,NWC,NAH
Alaska & Hawaii,AHW,ONS,0,0,0,0,0,0,0.885057471264367
Gulf of Mexico,GOM,ONS,0,0,0,0,0,0,0
Pacific,PCF,ONS,0,0,0,0,0,1,0
Mountain,MNT,ONS,0,0,0,0.1542164488087752,0.8975953698996052,0,0
West North Central,WNC,ONS,0,0,0.06763081411001177,0,0.1024046301003949,0,0
East North Central,ENC,ONS,0.17963367816001086,0,0,0,0,0,0
West South Central,WSC,ONS,0,0.9192798494744631,0.9323691858899884,0.8457835511912247,0,0,0
East South Central,ESC,ONS,0.010912301804730112,0.08044525852871817,0,0,0,0,0
Middle Atlantic,MAT,ONS,0.6396282901798285,0,0,0,0,0,0
South Atlantic,SAT,ONS,0.16982572985543062,0.0002748919968187902,0,0,0,0,0
New England,NEN,ONS,0,0,0,0,0,0,0
