,0,1,2,3
0,Calgary,Alberta,51.02532675,-114.0498685
1,Vancouver,British Columbia,49.2608724,-123.1139529
2,Winnipeg,Manitoba,49.884017,-97.168579
3,Moncton,New Brunswick,46.097995,-64.80011
4,St. John's,Newfoundland and Labrador,47.561701,-52.715149
5,Yellowknife,Northwest Territories,62.4709394,-114.4384901
6,Halifax,Nova Scotia,44.648618,-63.5859487
7,Iqaluit,Nunavut,63.7577822,-68.5587568
8,Toronto,Ontario,43.653963,-79.387207
9,Charlottetown,Prince Edward Island,46.234953,-63.132935
10,Montreal,Quebec,45.4972159,-73.6103642
11,Saskatoon,Saskatchewan,52.131802,-106.660767
12,Whitehorse,Yukon,60.721571,-135.054932
13,Tijuana,Mexico North West,19.4242723,-98.8858743
14,Juarez,Mexico North East,30.9541667,-112.4403333
15,Guadalajara,Mexico Interior West,29.7576667,-111.0526667
16,Mexico City,Mexico Interior,19.4326009,-99.1333416
17,Merida,Mexico South West,20.9670759,-89.6237402
18,Birmingham,Alabama,33.5206824,-86.8024326
19,Anchorage,Alaska,61.1758781,-149.1107333
20,Phoenix,Arizona,33.4485866,-112.0773456
21,Little Rock,Arkansas,34.7464809,-92.2895948
22,Los Angeles,California,34.0536834,-118.2427669
23,Denver,Colorado,39.7392364,-104.9848623
24,Bridgeport,Connecticut,41.1670412,-73.2048348
25,Wilmington,Delaware,39.7459468,-75.546589
26,Jacksonville,Florida,30.3321838,-81.655651
27,Atlanta,Georgia,33.7490987,-84.3901849
28,Honolulu,Hawaii,21.3250785,-157.8466442
29,Boise,Idaho,43.61656,-116.200835
30,Chicago,Illinois,41.8755616,-87.6244212
31,Indianapolis,Indiana,39.7683331,-86.1583502
32,Des Moines,Iowa,41.5910641,-93.6037149
33,Wichita,Kansas,37.6922361,-97.3375448
34,Louisville,Kentucky,38.2542376,-85.759407
35,New Orleans,Louisiana,29.9499323,-90.0701156
36,Portland,Maine,43.6610277,-70.2548596
37,Baltimore,Maryland,39.2908816,-76.610759
38,Boston,Massachusetts,42.3602534,-71.0582912
39,Detroit,Michigan,42.3315509,-83.0466403
40,Minneapolis,Minnesota,44.9772995,-93.2654692
41,Jackson,Mississippi,32.2990384,-90.1847691
42,Kansas City,Missouri,39.100105,-94.5781416
43,Billings,Montana,45.7874957,-108.49607
44,Omaha,Nebraska,41.2587317,-95.9378732
45,Las Vegas,Nevada,36.1662859,-115.149225
46,Manchester,New Hampshire,42.9956397,-71.4547891
47,Newark,New Jersey,40.735657,-74.1723667
48,Albuquerque,New Mexico,35.0841034,-106.6509851
49,New York City,New York,40.7308619,-73.9871558
50,Charlotte,North Carolina,35.2270869,-80.8431268
51,Fargo,North Dakota,46.877229,-96.789821
52,Columbus,Ohio,39.9622601,-83.0007065
53,Oklahoma City,Oklahoma,35.4729886,-97.5170536
54,Portland,Oregon,45.5202471,-122.6741949
55,Philadelphia,Pennsylvania,39.9524152,-75.1635755
56,Providence,Rhode Island,41.8677428,-71.5814834
57,Charleston,South Carolina,32.7876012,-79.9402728
58,Sioux Falls,South Dakota,43.5499749,-96.700327
59,Memphis,Tennessee,35.1490215,-90.0516285
60,Houston,Texas,29.7589382,-95.3676974
61,Salt Lake City,Utah,40.7670126,-111.8904308
62,Burlington,Vermont,44.4762975,-73.2135472
63,Virginia Beach,Virginia,36.8529841,-75.9774183
64,Seattle,Washington,47.6038321,-122.3300624
65,Charleston,West Virginia,38.3505995,-81.6332812
66,Milwaukee,Wisconsin,43.0349931,-87.922497
67,Cheyenne,Wyoming,41.139981,-104.820246
